position,guid,name,steamid
279,FF011000010598E30E,Dizzy,76561198054171406
280,FF011000010A2567A0,Bigman,76561198130489248
281,FF01100001476D79F2,mh398,76561199158622706
282,FF011000014109C29E,COOCHIE,76561199051424414
283,FF0110000131D44D89,skot822,76561198796262793
284,FF0110000145740A87,Peek | TGR x WSC,76561199125498503
285,FF0110000149B64EB6,Fendel | TRYHARD | FDLVisuals,76561199196950198
286,FF01100001343E8816,Toothless,76561198836779030
287,FF0110000147707BA2,leo holms / 4,76561199158819746
288,FF011000010622AD89,Cantrell,76561198063201673
289,FF01100001484EAC54,Miroz | THMX Co.,76561199173381204
290,FF011000013EC7C7CA,Aiden | MXB-Mods | AJP x FXR,76561199013545930
291,FF011000010EB5F94C,Cole | Phil's x Atlas x BLco,76561198207072588
292,FF0110000104475139,donutmx,76561198032048441
293,FF011000010F74BFD7,Sackie,76561198219575255
294,FF011000010C504989,Tharmas \ WAXED,76561198166854025
295,FF01100001417A71D3,Ptrick | Twisted Development,76561199058809299
296,FF011000010889A668,KodyNorris11,76561198103504488
297,FF01100001320281C4,AdamErts | AceMoto,76561198799290820
297,FF0110000105FEC5A1,Corentin-969 || Brotech Family,76561198060848545
298,FF011000013D128A10,Burgerbark,76561198984890896
299,FF011000010EC3C854,Toona,76561198207977556
300,FF011000014327E038,C.Young | TSCZ x Swanlabs,76561199086952504
300,FF01100001344DE615,agaananta,76561198837786133
301,FF011000013BE9A54E,Lewis | Privateer,76561198965433678
302,FF011000010DF87E59,kronos,76561198194654809
303,FF01100001056A94CC,Kresten,76561198051136716
304,FF0110000144D38E89,NaimThr,76561199114981001
305,FF011000011219F2D0,Jake Toney - Privateer LFT,76561198263956176
306,FF011000013C7B410A,BK | Westeffex Kawasaki,76561198974976266
307,FF011000011BDDC9FC,J4M3S,76561198427785724
308,FF011000013722778B,Mattx,76561198885271435
309,FF011000010EB8BDF1,sluggator,76561198207254001
310,FF011000014ADD3685,Ghost,76561199216277125
311,FF01100001097FFCCD,Victor.G | Mostra x Kenny,76561198119648461
312,FF0110000104EDB611,Aspire,76561198042953233
313,FF01100001040F997D,Iago Santana,76561198028396925
313,FF011000010E3C08D2,Jmoney,76561198199081170
314,FF011000014463B613,kuakky | weenie warriors,76561199107651091
315,FF01100001147E96FB,Andrew,76561198304106235
316,FF011000011B7B23B4,Silvio | Pedroza Racing #19,76561198421320628
317,FF011000010E349C73,Colby l WDOOFS Racing,76561198198594675
318,FF0110000106B2067C,Rez I THMX,76561198072596092
319,FF0110000145440168,ZAMENSKY,76561199122350440
319,FF01100001348A3775,?,76561198841739125
320,FF011000010DDA6B05,Moto237,76561198192683781
321,FF0110000105D86B29,FlowMX | Full_Send,76561198058335017
321,FF01100001460D5AD6,Gingi / Prestige genuine,76561199135546070
322,FF011000013D2BEE21,GRIGIS,76561198986554913
323,5D9EAB77,Unknown,
323,FF0110000141902B57,MLG,76561199060233047
324,FF0110000109AB406B,grant,76561198122483819
325,FF01100001403F78D7,Sin_cityX,76561199038167255
326,FF011000010D106FDA,Mills | HSM,76561198179446746
327,FF0110000114770550,MOTOPATROL,76561198303610192
328,FF011000011B4D0ACA,Bee | THMX Co.,76561198418299594
329,FF01100001415A72FA,Jarod Williams,76561199056712442
330,FF011000014A73B904,P?ja,76561199209363716
331,FF0110000114592F36,Mini | MXB-Shop,76561198301654838
332,FF0110000105ED27DF,*RL*Tylyn,76561198059694047
333,FF0110000110AADEDA,Mrbangbang69,76561198239899354
334,FF01100001164CD0DB,Mx_247_Mx,76561198334398683
335,FF01100001098BCD06,Josh Doble,76561198120422662
336,FF0110000117BFA95B,ENERGY_Frxzy,76561198358702427
336,FF011000014978FE1D,Waevo | AceMoto,76561199192931869
337,FF0110000145E86354,Flora,76561199133123412
338,FF0110000103C976D7,WANKE | THAIROCKEN RACING,76561198023800535
339,FF0110000109775844,MOTIA | Hog Riders,76561198119082052
339,FF011000010E1801DD,Meow,76561198196720093
340,FF01100001452E3F04,Baron | MotoFactory,76561199120924420
341,FF011000014273E80B,Sunbelt x BlackLabel,76561199075158027
342,FF0110000145E107AC,Meatballz,76561199132641196
343,FF011000010CA037B5,srg_323,76561198172092341
344,FF0110000132CE39A0,SyNc Envy | Aunt Jemima Racing,76561198812641696
344,FF011000013F079113,GoGo \ Privateer,76561199017726227
345,FF0110000145634ABD,Donovan - LNI Racing,76561199124400829
346,FF011000014AE0E8E9,chair,76561199216519401
346,FF011000013739771F,Rasmus,76561198886778655
347,FF011000010C5F9B7E,Keily80,76561198167858046
